Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Jira Automated Regression Suite (JARS),Chrome 80.0.3987.106,,,2020-02-17 17:05:40,2020-02-17 17:15:46,10m - 5.264s,INCOMPLETE
,,,,,,,
Test Cases/Jira/BE/Utilities/BCAISPS-14745/BCAISPS-14745.TCID001,Chrome 80.0.3987.106,,,2020-02-17 17:05:42,2020-02-17 17:07:49,2m - 6.771s,FAILED
"callTestCase(findTestCase(""Components/Login""), [""Username"":findTestData(""Datatable"").getValue(""Username"", 1), ""Password"":findTestData(""Datatable"").getValue(""Password"", 1)], STOP_ON_FAILURE)",Chrome 80.0.3987.106,"Log in.
",,2020-02-17 17:05:44,2020-02-17 17:06:10,25.804s,PASSED
"callTestCase(findTestCase(""Components/NavigateToHomepageHeaders""), [""headerText"":""My Tasks""], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Navigate to My Tasks.,,2020-02-17 17:06:10,2020-02-17 17:06:18,8.609s,PASSED
"callTestCase(findTestCase(""Components/OpenHomepageMenu""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Open hamburger menu.,,2020-02-17 17:06:18,2020-02-17 17:06:21,2.471s,PASSED
"callTestCase(findTestCase(""Components/HoverToAnyMenuSelection""), [""MenuSelection"":""Utilities""], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Hover over Utilities.,,2020-02-17 17:06:21,2020-02-17 17:06:22,1.455s,PASSED
"callTestCase(findTestCase(""Components/HoverToAnyMenuSelection""), [""MenuSelection"":""Common""], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Hover over common.,,2020-02-17 17:06:22,2020-02-17 17:06:23,1.225s,PASSED
"callTestCase(findTestCase(""Components/HoverToAnyMenuSelection""), [""MenuSelection"":""Maintenance""], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Hover over Maintenance.,,2020-02-17 17:06:23,2020-02-17 17:06:25,1.361s,PASSED
"callTestCase(findTestCase(""Components/HoverToAnyMenuSelection""), [""MenuSelection"":""Maintain AC""], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Hover over Maintain AC.,,2020-02-17 17:06:25,2020-02-17 17:06:26,1.212s,PASSED
"callTestCase(findTestCase(""Components/SelectFromMenu""), [""menuToBeClicked"":""Maintain AC""], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Click Maintain AC,,2020-02-17 17:06:26,2020-02-17 17:06:28,2.259s,PASSED
"callTestCase(findTestCase(""Components/SetTextOnField""), [""tagToBeUsed"":""input"", ""nameToBeUsed"":""acNo"", ""textToBeInputted"":""1160""], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Set text on AC No field.,,2020-02-17 17:06:28,2020-02-17 17:06:30,2.141s,PASSED
"callTestCase(findTestCase(""Components/ClickBlueButtonsWithXPI""), [""Button"":""Search"", ""Index"":3], STOP_ON_FAILURE)",Chrome 80.0.3987.106,Click Search,,2020-02-17 17:06:30,2020-02-17 17:06:47,16.712s,PASSED
